instrumentID,exchangeTime,localTime,tradeExchange,trSalCond,fillType,actionType,dir,tradeDirection,priceType,bidId,askId,price,volume,turnover,appSeq
000002.SZ,2026-07-07 09:30:00.000000000,2026-07-07 09:30:00.000000000,,,0,0,0,0,2,2011000000000101,0,10.00,1000,0,1
000002.SZ,2026-07-07 09:30:00.100000000,2026-07-07 09:30:00.100000000,,,0,0,1,0,2,0,2011000000000201,10.10,500,0,2
000002.SZ,2026-07-07 09:30:00.200000000,2026-07-07 09:30:00.200000000,,,0,0,1,0,2,0,2011000000000202,10.11,300,0,3
000002.SZ,2026-07-07 09:30:00.300000000,2026-07-07 09:30:00.300000000,,,0,0,1,0,2,0,2011000000000203,10.12,200,0,4
000002.SZ,2026-07-07 09:35:00.000000000,2026-07-07 09:35:00.000000000,,,0,0,0,0,2,2011000000000104,0,9.90,100,0,5
000002.SZ,2026-07-07 09:36:00.000000000,2026-07-07 09:36:00.000000000,,,0,0,0,0,2,2011000000000401,0,10.12,1500,0,6
000002.SZ,2026-07-07 09:36:00.000000000,2026-07-07 09:36:00.000000000,,,0,2,0,0,2,2011000000000401,2011000000000201,10.10,500,5050,7
000002.SZ,2026-07-07 09:36:00.000000000,2026-07-07 09:36:00.000000000,,,0,2,0,0,2,2011000000000401,2011000000000202,10.11,300,3033,8
000002.SZ,2026-07-07 09:36:00.000000000,2026-07-07 09:36:00.000000000,,,0,2,0,0,2,2011000000000401,2011000000000203,10.12,200,2024,9
000002.SZ,2026-07-07 09:40:00.000000000,2026-07-07 09:40:00.000000000,,,0,0,0,0,2,2011000000000501,0,9.50,100,0,10
